Show Code,Date,People,Media Type,Media Code,Media URL,Media Title,Media Description
220,9/23/14,Christine Flood,1,QcwyKLlmXeY,,"""Shenandoah: An open source pauseless GC for OpenJDK."" by Christine Flood","Back in the lisp machine days hitting a GC pause meant it was time to go get a cup of coffee. Java Virtual Machines (JVMs) do better by using parallel (multiple threads working together) and concurrent (gc threads working while the mutator is running) techniques however pauses still cost time and in the case of online transactions money. This talk will discuss a new GC algorithm being developed at Red Hat for OpenJDK. Shenandoah is the first open-source OpenJDK GC algorithm that does marking and evacuation concurrently with running Java threads. This allows us to keep our pause times under 10ms even for heaps of 100+GBs. by Christine Flood - Red Hat Christine H. Flood has been designing and implementing programming languages for over 20 years. Starting with Lisp machines, dabbling with implicitly parallel languages like ID and Fortress and diving into the bits of Java Virtual Machine implementations. She's written multiple papers on GC algorithms and is delighted to be taking them to the next level for OpenJDK."
220,9/22/14,Martin Thompson,1,tM4YskS94b0,,"""Aeron: Open-source high-performance messaging"" by Martin Thompson","Does TCP not meet your required latency consistently? Is UDP not reliable enough? Do you need to multicast? What about flow control, congestion control, and a means to avoid head of line blocking that can be integrated with the application? Or perhaps youÕre just fascinated by how to design for the cutting edge of performance? Maybe you have tried higher level messaging products and found they are way too complicated because of the feature bloat driven by product marketing cycles. Aeron takes it back-to-basics with a pure focus on performance and reliability. We have built it from the ground up with mechanical sympathy in its DNA. The data structures are lock-free, wait-free, copy-free, and even persistent for our functional friends. Interaction with the media is layered so you can swap between UDP, Inifiniband, or Shared Memory as required. Aeron is open-source with implementations in Java and C++ that interoperate. There are no unnecessary features to bloat the implementation, yet the design is open so that it can be composed into higher level abstractions. This talk will focus on the design of Aeron and what we learned trying to achieve very consistent performance. We will explore the challenges of dealing with reliable message delivery over UDP and the data structures necessary to support transmission and retransmission in in a lock-free and wait-free manner. by Martin Thompson (@mjpt777) Martin is a high-performance and low-latency specialist, with experience gained over two decades working on the bleeding edge of large transactional and big-data systems. He believes in Mechanical Sympathy, i.e. applying an understanding of the hardware to the creation of software as being fundamental to delivering elegant high-performance solutions. The Disruptor framework is just one example of what his mechanical sympathy has created. Martin was the co-founder and CTO of LMAX. He blogs at mechanical-sympathy.blogspot.com, and can be found giving training courses on performance and concurrency when he is not cutting code to make systems better."
220,9/22/14,Michael Drogalis,1,vG47Gui3hYE,,"""Onyx: Distributed Workflows for Dynamic Systems"" by Michael Drogalis","If you've ever jumped heads down into a codebase maintaining complex distributed activity and tried to simplify or change the processing workflow, not only will you scratch your head for 7 sleepless nights before you can get anywhere, but you'll come to realize that workflows are often deeply complected with their mechanism of execution. In this talk, we'll survey contemporary frameworks such as Storm and Cascading. We'll identify the pain points that seem to crop up time and time again: workflow specification, stateful lifecycle management,and developer testing - to name a few. Onyx is a new distributed computation system written in Clojure that addresses these problems head-on. Hardware advancements in the last 10 years have enabled new designs that leverage fast networks and SSDs. Onyx takes advantage and adapts to this new environment. The concepts and tools discussed remove the incidental complexity that plagues modern frameworks. Attendees will come away with new perspective on leveraging immutability, persistent data structures, queues, and transactions to tackle increasingly complex problem spaces. by Michael Drogalis (@MichaelDrogalis) Michael Drogalis is a software engineering consultant who mainly focuses on Clojure and Datomic"
220,9/22/14,Daira Hopwood,1,oPeo0upCGqo,,"""How to make error handling less error-prone"" by Daira Hopwood","Error handling is one of the most difficult problems in computer science and in practical programming. Incorrect error handling often leads to security vulnerabilities (such as many of the recent spate of bugs found in TLS implementations), data loss, and user frustration. In this talk, we'll first discuss why programs using existing error handling styles and mechanisms (return and status code checking, conditions and restarts, and exceptions) often fail to recover correctly from errors. We argue that this is due to a fundamental conflict between encapsulation and having enough information to recover a consistent state.Then we explain how this conflict can be solved by providing language support for automatically recovering the state before the call that failed, so that failures cannot cause inconsistency. We also describe how the 'Ken' protocol complements this automatic recovery and extends it to asynchronous and distributed systems. by Daira Hopwood (@DairaHopwood) - LeastAuthority.com Daira Hopwood works on cloud storage systems for LeastAuthority.com. Ze has a long-standing interest in programming language research and security, and after 20 years has finally turned that into a concrete language design. Daira is transgender and uses 'ze/hir' pronouns."
220,9/22/14,Doug Rohrer,1,a-OCorBXX7M,,"""Elixir and the Internet of Things"" by Doug Rohrer","The Internet of Things is upon us and being able to efficiently interconnect things will become increasingly difficult as more of them become available. How can we handle the stampede of connecting devices efficiently? When Ruby failed to live up to the task, we turned to Elixir and Erlang and were astonished by the results. This session will showcase the use of Elixir for a real-world production system. We will walk though the actual code and discuss some of the struggles we faced while learning (enough) Erlang and Elixir to get things up and running. At the end of the presentation, you will have a basic understanding of Erlang's OTP behaviors, realize the importance of restart strategies, know what an ""Acceptor Pool"" is, and how we built one without knowing it. by Doug Rohrer (@JeetKunDoug) Doug has over 20 years of software development experience in complex business and scientific systems. After almost a decade in consulting, he took several years to work with product companies, including what might have been the first application monitoring system for cloud computing applications that itself ran in the cloud. In late 2012, he took a sharp left turn from the world of .Net to focus on Ruby on Rails and other open-source systems, and has a passion for IoT problems based on his work with Nexia Home intelligence and Elixir/Erlang."
220,9/22/14,Paul Betts,1,1XNATGjqM6U,,"""FRP In Practice: Taking a look at Reactive[UI/Cocoa]"" by Paul Betts","In this talk, we'll see how the Desktop team at GitHub has taken some of the principles behind Functional Reactive Programming and applied them extensively to today's UI toolkits. We'll dive into a case study of GitHub for Mac / Windows and their backing FRP libraries, ReactiveCocoa + ReactiveUI; we'll see what worked well, what we struggled with, and how to apply the beauty of FRP to languages and frameworks that are decidedly not designed with FRP in mind. by Paul Betts (@paulcbetts) - GitHub I'm a Windows / .NET Hacker for GitHub who graduated from The Ohio State University. In my spare time, I hack on some open-source software, play guitar and bass, and in general am within _ of really awesome."
220,9/22/14,Yodit Stanton,1,PHF2P_ec_7s,,"""The Internet of Things in Practice"" by Yodit Stanton","We are at the dawn of an age of connected things, Internet of Things (IOT), some predict that there will be 25 billion new connected devices over the new few years. In this talk, we will peel away the hype and talk about the practicalities of managing IOT at scale. We will explore the protocols, the message queues and the eternal problem of standards. This talk will be a practical one where we will a demonstrate the ingestion and processing of IOT data using azondi, our opensource IOT message processing engine, built in clojure using Netty and implementing the LMAX reactor model. by Yodit Stanton (@yoditstanton) - opensensors.IO Yodit is a developer and founder of opensensors.IO, with a special interest in machine learning. She spends her time building systems for processing and analysing sensor data, as well as hacking clojure."
220,9/22/14,Elise Huard,1,1MNTerD8IuI,,"""Writing a game in Haskell"" by Elise Huard","Haskell is a beautiful functional language, written by smart computer scientists, and having clever and elegant functional constructs. It clearly separates pure and impure parts of the program. Game programming on the other hand is a very hands-on discipline, trying to wring out the most of the machine's performance, and aiming for one thing, in disregard of all else: a pleasant, challenging experience for the player. I aim to bring intersect those worlds and describe the process, and the specifics, of writing a Haskell game. Functional reactive programming, bindings to graphical libraries, etc, will all have a role to play. by Elise Huard (@elise_huard) Elise Huard is a software consultant who's been crafting and bashing together software for about 15 years now. Her skill set comprises talking to people, Haskell, Clojure, R, javascript, ruby, C, scaling, and a good few bits and bobs beside. She's spoken at a fair number of conferences, most of them Ruby, some of them javascript, some of them polyglot. She's based in Berlin, Germany. She enjoys reading sci-fi, traveling, cooking, tinkering, and spending time with her husband and baby daughter."
220,9/22/14,Ramsey Nasser|Tims Gardner,1,tJr_TD1BtF0,,"""Clojure in Unity 3D: Functional Video Game Development"" by Ramsey Nasser and Tims Gardner","Unity 3D is the de facto industry-standard platform for making games. It is built on Mono, scripted in C#, and exports to a wide range of systems, including OSX, Windows, Linux, iOS, Android, XBox, PlayStation, and the web. We are providing an open-source library integrating Clojure and Unity. Clojure will dramatically improve game development by bringing Lisp-style REPL-based live coding, optimizing macros, and DSLs to Unity's workflow. Persistent data structures will enable previously impossible computations in games, such as speculative AI algorithms, logic programming, and rewindable game state history. Unity's graphics and interaction stack opens up considerable power to Clojure programmers. Optimized 2D and 3D graphics, physics simulations, and integration with hardware such as the Kinect are examples of what is now available to functional programmers. Unity's extensive community and collection of prepackaged assets will make developing games in Clojure practical for the first time. Our talk will cover the indispensable role of platforms like Unity in professional game development, and the new possibilities afforded by its integration with a functional Lisp like Clojure. We will show a demo of our new workflow, discuss historical precedent for this initiative, and conclude with thoughts on future applications of our approach. by Ramsey Nasser (@ra), Tims Gardner (@timsgardner) Ramsey Nasser is a computer scientist, game designer, and educator based in Brooklyn. He researches programming languages by building tools to make computation more expressive and implementing projects that question the basic assumptions we make about code itself. His games playfully push people out of their comfort zones, and are often written in experimental programming languages of his design. A former Eyebeam fellow and a member of Kitchen Table Coders, when he is not reasoning about abstract unintuitive machines, he builds and maintains vintage motorcycles. Tims Gardner is an illustrator and Clojure programmer. His interests include symbolic computation, formal visualization, and psychedelic comics. He is a member of Kitchen Table Coders and aspires to cavitate the moon someday."
220,9/22/14,Erin Swenson-Healey|James Cooper,1,3v03NFcyvzc,,"""Haste: Full-Stack Haskell for Non-PhD Candidates"" by Erin Swenson-Healey and James Cooper",
