Show Code,Date,People,Media Type,Media URL,Media Title,Media Description
227,7/19/2012,Larry David,4,http://comediansincarsgettingcoffee.com/larry-david-larry-eats-a-pancake,Larry Eats a Pancake,
227,8/2/2012,Ricky Gervais,4,http://comediansincarsgettingcoffee.com/ricky-gervais-mad-man-in-a-death-machine,Mad Man in a Death Machine,
227,8/9/2012,Brian Regan,4,http://comediansincarsgettingcoffee.com/brian-regan-a-monkey-and-a-lava-lamp,A Monkey and a Lava Lamp,
227,8/16/2012,Alec Baldwin,4,http://comediansincarsgettingcoffee.com/alec-baldwin-just-a-lazy-shiftless-bastard,Just a Lazy Shiftless Bastard,
227,8/23/2012,Joel Hodgson,4,http://comediansincarsgettingcoffee.com/joel-hodgson-a-taste-of-hell-from-on-high,A Taste of Hell From on High,
227,8/30/2012,Bob Einstein,4,http://comediansincarsgettingcoffee.com/bob-einstein-unusable-on-the-internet,Unusable on the Internet,
227,9/6/2012,Barry Marder,4,http://comediansincarsgettingcoffee.com/barry-marder-you-dont-want-to-offend-a-cannibal,You Don't Want to Offend a Cannibal,
227,9/13/2012,Colin Quinn | Mario Joyner,4,http://comediansincarsgettingcoffee.com/colin-quinn-mario-joyner-i-hear-downton-abbey-is-pretty-good,I Hear Downton Abbey Is Pretty Good...,
227,9/20/2012,Carl Reiner | Mel Brooks,4,http://comediansincarsgettingcoffee.com/carl-reiner-mel-brooks-i-want-sandwiches-i-want-chicken,"I Want Sandwiches, I Want Chicken",
227,9/27/2012,Michael Richards,4,http://comediansincarsgettingcoffee.com/michael-richards-its-bubbly-time-jerry,"It's Bubbly Time, Jerry",
227,6/13/2013,Sarah Silverman,4,http://comediansincarsgettingcoffee.com/sarah-silverman-im-going-to-change-your-life-forever,I'm Going to Change Your Life Forever,
227,6/20/2013,David Letterman,4,http://comediansincarsgettingcoffee.com/david-letterman-i-like-kettlecorn,I Like Kettlecorn,
227,6/27/2013,Gad Elmaleh,4,http://comediansincarsgettingcoffee.com/gad-elmaleh-no-lipsticks-for-nuns,No Lipsticks for Nuns,
227,7/4/2013,Don Rickles,4,http://comediansincarsgettingcoffee.com/don-rickles-youll-never-play-the-copa,You'll Never Play the Copa,
227,7/11/2013,Seth Meyers,4,http://comediansincarsgettingcoffee.com/seth-meyers-really,Really?!,
227,7/18/2013,Chris Rock,4,http://comediansincarsgettingcoffee.com/chris-rock-kids-need-bullying,Kids Need Bullying,
227,1/2/2014,Louis C.K.,4,http://comediansincarsgettingcoffee.com/louis-c-k-comedy-sex-and-the-blue-numbers,"Comedy, Sex and the Blue Numbers""",
227,1/9/2014,Patton Oswalt,4,http://comediansincarsgettingcoffee.com/patton-oswalt-how-would-you-kill-superman,How Would You Kill Superman?,
227,1/16/2014,Jay Leno,4,http://comediansincarsgettingcoffee.com/jay-leno-comedy-is-a-concealed-weapon,Comedy Is a Concealed Weapon,
227,1/23/2014,Todd Barry,4,http://comediansincarsgettingcoffee.com/todd-barry-so-youre-mellow-and-tense,So You're Mellow and Tense?,
227,1/30/2014,Tina Fey,4,http://comediansincarsgettingcoffee.com/tina-fey-feces-are-my-purview,Feces Are My Purview,
227,2/2/2014,Jason Alexander|Wayne Knight,4,http://comediansincarsgettingcoffee.com/george-costanza-the-over-cheer,The Over-Cheer,
227,2/6/2014,Howard Stern,4,http://comediansincarsgettingcoffee.com/howard-stern-the-last-days-of-howard-stern,The Last Days of Howard Stern,
227,6/19/2014,Sarah Jessica Parker,4,http://comediansincarsgettingcoffee.com/sarah-jessica-parker-a-little-hyper-aware,A Little Hyper-Aware,
227,6/26/2014,George Wallace,4,http://comediansincarsgettingcoffee.com/george-wallace-two-polish-airline-pilots,Two Polish Airline Pilots,
