Show Code,Date,People,Media Type,Media Code,Media URL,Media Title,Media Description
221,4/5/15,Danny Jarman,1,TYJl6ub0Y2w,,Engaging with Religious Fundamentalism,Should we engage with religious fundamentalists? Does it really matter? Can we really make an impact? Brisbane Skepticamp discussion on engaging with religious fundamentalism. Danny Jarman is the Vice President of the Atheist Foundation of Australia. http://www.atheistfoundation.org.au Brisbane Skepticamp is run by the Brisbane Skeptic Society. http://brisskepticamp.org/ https://www.facebook.com/brisskepticamp
221,10/29/12,John Pilbrow | Matthew McArthur,1,Z3JVtDo2mT0,,SYN FM Debate - The influence of religion on culture and politics,"Atheist Foundation of Australia debating team member, Matthew McArthur, in conversation with John Pilbrow on SYN Radio, Saturday 27 October 2012. John Pilbrow is the Emeritus Professor of Physics, Monash University Co-Editor Christian Perspectives on Science & Technology (CPOSAT) Deputy Chair - Melbourne Anglican Committee on Christianity & Atheism 2010-12. Matthew and John explore the influence of religion on Australian culture and politics."
221,10/13/12,Tom Ballard,1,ve2TdLmgx2c,,Tom Ballard Live - 2012 Global Atheist Convention,"A Celebration of Reason - 2012 Global Atheist Convention 13-15th April - Melbourne Convention Exhibition Centre Presented by the Atheist Foundation of Australia http://atheistconvention.org.au http://atheistfoundation.org.au Tom Ballard has performed all around Australia and the world, winning many comedy competitions. In addition to his regular performances at comedy clubs, he is a morning radio presenter on triple j. http://tomballard.com.au/"
221,9/11/12,Dan Barker,1,15tvEFz3oeU,,Dan Barker - Life Driven Purpose,"A Celebration of Reason - 2012 Global Atheist Convention 13-15th April - Melbourne Convention Exhibition Centre Presented by the Atheist Foundation of Australia http://atheistconvention.org.au http://atheistfoundation.org.au Dan Barker was elected co-president of the Freedom From Religion Foundation with Annie Laurie Gaylor in 2004, his co-host of Freethought Radio, a national weekly talkshow on the Air America network. He is a contributing editor of Freethought Today and is involved with the Foundation's state/church lawsuits. http://ffrf.org/"
221,9/9/12,Ayaan Hirsi Ali,1,uIOY3Or-O6o,,Ayaan Hirsi Ali - A Secular Spring Or An Islamist Winter?,"A Celebration of Reason - 2012 Global Atheist Convention 13-15th April - Melbourne Convention Exhibition Centre Presented by the Atheist Foundation of Australia http://atheistconvention.org.au http://atheistfoundation.org.au Ayaan Hirsi Ali is a resident scholar at the American Enterprise Institute in Washington DC, Ayaan is currently researching the relationship between the West and Islam. She established the AHA Foundation in 2007 to help protect and defend the rights of women in the West against militant Islam."
221,9/9/12,A.C. Grayling,1,VulWIb2Srq4,,A.C. Grayling - What's Next For Atheism?,"A Celebration of Reason - 2012 Global Atheist Convention 13-15th April - Melbourne Convention Exhibition Centre Presented by the Atheist Foundation of Australia http://atheistconvention.org.au http://atheistfoundation.org.au A.C. Grayling is Master of the New College of the Humanities, and a Supernumerary Fellow of St Anne's College, Oxford. Until 2011 he was Professor of Philosophy at Birkbeck College, University of London. He went on to found and become the first master of New College of the Humanities, a private undergraduate college in London."
221,8/5/12,Geoffrey Robertson,1,OHJGhWeNSeA,,Geoffrey Robertson - Freedoms of Speech and Religion in the 21st Century,"A Celebration of Reason - 2012 Global Atheist Convention 13-15th April - Melbourne Convention Exhibition Centre Presented by the Atheist Foundation of Australia http://atheistconvention.org.au http://atheistfoundation.org.au Geoffrey Robertson Q.C. is head of Doughty Street Chambers, the UK's largest human rights practice, a Master of the Middle Temple, and serves as a 'distinguished jurist member' of the UN's Justice Council. He was the first President of the UN War Crimes Court in Sierra Leone, and has delivered ground-breaking judgements on the illegality of recruiting child soldiers and the invalidity of amnesties for crimes against humanity."
221,6/30/12,Eugenie Scott,1,5lvsE_ZYcP8,,Eugenie Scott - Reason And Creationism,"A Celebration of Reason - 2012 Global Atheist Convention 13-15th April - Melbourne Convention Exhibition Centre Presented by the Atheist Foundation of Australia http://atheistconvention.org.au http://atheistfoundation.org.au Eugenie C. Scott has been since 1987 the Executive Director of the National Center for Science Education, Inc., a pro-evolution non-profit science education organization in the USA. She is a leading critic of young earth creationism and intelligent design. http://ncse.com/"
221,6/28/12,Stella Young,1,RUXJvP-pvNc,,Stella Young Live - 2012 Global Atheist Convention,"A Celebration of Reason - 2012 Global Atheist Convention 13-15th April - Melbourne Convention Exhibition Centre Presented by the Atheist Foundation of Australia http://atheistconvention.org.au http://atheistfoundation.org.au Stella Young is a comedian, disability advocate and Editor of ABC's Ramp Up, the online space for news, discussion and opinion about disability in Australia. She holds a degree in Journalism from Deakin University and a Diploma of Secondary Education from the University of Melbourne."
221,6/23/12,Richard Dawkins,1,R_wXEjQ1kdU,,Richard Dawkins - Now Praise Intelligent Design,"A Celebration of Reason - 2012 Global Atheist Convention 13-15th April - Melbourne Convention Exhibition Centre Presented by the Atheist Foundation of Australia http://atheistconvention.org.au http://atheistfoundation.org.au Richard Dawkins is an evolutionary biologist and was the first holder of the Charles Simonyi Chair for the Public Understanding of Science at Oxford University, and a Fellow of New College, Oxford, Retired. His most recent book, The Magic of Reality: How We Know What's Really True was published in 2011. http://richarddawkins.net/"
