Show Code,Date,People,Media Type,Media URL,Media Title,Media Description
228,1948,Bertrand Russell,4,http://www.bbc.co.uk/programmes/p00h9lz3,Authority and the Individual,
228,1949,Robert Birley,4,http://www.bbc.co.uk/programmes/p00h9lyg,Britain in Europe,
228,1950,John Zachary Young,4,http://www.bbc.co.uk/programmes/p00h9lxm,"Young, Doubt and Certainty in Science",
228,1951,Cyril Radcliffe,4,http://www.bbc.co.uk/programmes/p00h9lwd,Power and the State,
228,1952,Arnold J. Toynbee,4,http://www.bbc.co.uk/programmes/p00h9lpw,The World and the West,
228,1953,Robert Oppenheimer,4,http://www.bbc.co.uk/programmes/p00h9lm8,Science and the Common Understanding,
228,1954,Oliver Franks,4,http://www.bbc.co.uk/programmes/p00h9lm3,Britain and the Tide of World Affairs,
228,1955,Nikolaus Pevsner,4,http://www.bbc.co.uk/programmes/p00h9llv,The Englishness of English Art,
228,1956,Edward Victor Appleton,4,http://www.bbc.co.uk/programmes/p00h9lkv,Science and the Nation,
228,1957,George F. Kennan,4,http://www.bbc.co.uk/programmes/p00h9lk5,"Russia, the Atom and the West",
228,1958,Bernard Lovell,4,http://www.bbc.co.uk/programmes/p00h9ld8,The Individual and the Universe,
228,1959,Peter Medawar,4,http://www.bbc.co.uk/programmes/p00h9lc9,The Future of Man,
228,1960,Edgar Wind,4,http://www.bbc.co.uk/programmes/p00h9lbs,Art and Anarchy,
228,1961,Margery Perham,4,http://www.bbc.co.uk/programmes/p00h9lb4,The Colonial Reckoning,
228,1962,George Carstairs,4,http://www.bbc.co.uk/programmes/p00h9l9f,This Island Now,
228,1963,Albert Sloman,4,http://www.bbc.co.uk/programmes/p00h9l8z,A University in The Making,
228,1964,Leon Bagrit,4,http://www.bbc.co.uk/programmes/p00h9l82,The Age of Automation,
228,1965,Robert Gardiner,4,http://www.bbc.co.uk/programmes/p00h3yc4,World of Peoples,
228,1966,John K. Galbraith,4,http://www.bbc.co.uk/programmes/p00h3y23,The New Industrial State,
228,1967,Edmund Leach,4,http://www.bbc.co.uk/programmes/p00h3xy8,A Runaway World,
228,1968,Lester Pearson,4,http://www.bbc.co.uk/programmes/p00h3xs2,Peace In The Family of Man,
