Show,Date,Person,Media Type,Media Value,,Title,,,,,,,,,,,,,,,,,,,,,
200,6/19/15,John Lennox|Christopher DiCarlo,1,L5YDmkAyiO4,,Has Science Made God Irrelevant?,,,,,,,,,,,,,,,,,,,,,
200,4/30/15,Kyle Westaway|Erin Beck,1,i1TvZ8k-uE4,,Success or significance-Can you have both? A Christian Entrepreneur and Agnostic Professor Discuss.,,,,,,,,,,,,,,,,,,,,,
200,4/28/15,Cullen Buie,1,L67bROAn194,,"Science, Self, & God: What Do You Believe In?",,,,,,,,,,,,,,,,,,,,,
200,4/17/15,Troy Van Voorhis,1,g9G8o7JXlbE,,Miracles: Can a Scientist Believe in Miracles,,,,,,,,,,,,,,,,,,,,,
200,4/17/15,John Lennox,1,lOaB8kR9jmE,,The Loud Absence: Where is God in Suffering?,,,,,,,,,,,,,,,,,,,,,
200,4/16/15,John Lennox|Don Demetriades,1,BBI3SSwACR4,,Christianity and the Tooth Fairy,,,,,,,,,,,,,,,,,,,,,
200,4/16/15,Ross Douthat,1,gCWIB0RZXyc,,Faith is Not a Sideshow,,,,,,,,,,,,,,,,,,,,,
200,4/15/15,John Lennox|Jane Beal,1,VjASQOlFn-E,,The Loud Absence,,,,,,,,,,,,,,,,,,,,,
200,4/15/15,Marilynne Robinson,1,Vhap7I-MHAU,,Our Elegant Universe,,,,,,,,,,,,,,,,,,,,,
200,4/13/15,Charles Lee|Ana Mari Cauce,1,sT5I2ZQLYj4,,You Are NOT Your Resume,,,,,,,,,,,,,,,,,,,,,
200,4/13/15,John Lennox|Nicholas Christenfeld,1,mkKNTs3tbJ4,,Godless Goodness? An Atheist and A Christian Discuss the Sources of Beauty and Morality,,,,,,,,,,,,,,,,,,,,,
200,4/9/15,Troy Van Voorhis|Leo Goldmakher,1,f6M3zOYZUE4,,Is Science Enough?,,,,,,,,,,,,,,,,,,,,,
200,4/9/15,Andra Gillespie|Na'ilah Suad Nasir,1,G8A_QWqPiQU,,"Faith, Ferguson, and (Non)Violence",,,,,,,,,,,,,,,,,,,,,
200,4/8/15,Mary Poplin,1,E8PGjgagkOM,,Testing Assumptions: A Former Atheist Meets Mother Teresa,,,,,,,,,,,,,,,,,,,,,
200,4/8/15,James Tour,1,A0uq727Fjbw,,Jesus Christ & Nanotechnology,,,,,,,,,,,,,,,,,,,,,
200,4/6/15,Timothy J. Keller|Philip Kitcher,1,8i9McgNOUnA,,Ethics and the Good Life,,,,,,,,,,,,,,,,,,,,,
200,4/2/15,Ruth N. LÃ_pez Turley|Sarah Stith,1,WV0MuWg_0Cs,,"(In)equality, (In)justice, (In)tolerance-Is God Necessary?",,,,,,,,,,,,,,,,,,,,,
200,4/1/15,Jonathan Feng,1,8XIVXk-Ve8Q,,"Caltech Asks: What's the Matter? Searching for Meaning in a Cold, Dark Universe",,,,,,,,,,,,,,,,,,,,,
200,3/19/15,Nancy E. Hill|Alan Wolfe,1,YTH0YOnXuuA,,Can we have MLK's dream without his faith?,,,,,,,,,,,,,,,,,,,,,
200,3/9/15,Nancy E. Hill|Alan Wolfe,1,l8qAGWCVrlk,,Can We Have MLK's Dream Without His Faith?,,,,,,,,,,,,,,,,,,,,,
200,2/20/15,John Lennox,1,Km0FGgbx42I,,Cosmic Chemistry: Do Science and God Mix?,,,,,,,,,,,,,,,,,,,,,
200,2/19/15,Ian Hutchinson|Donald Hubin,1,KZii569lQGw,,Miracles: an OSU Atheist and an MIT Christian discuss belief and reason,,,,,,,,,,,,,,,,,,,,,
